19:00:44 - 開始處理語言: zh-MO
19:00:44 - 目標業態: enterprises, public_sector, training_institutions
19:00:44 - 跳過空白替換結果 - 企業: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
19:00:44 - 跳過空白替換結果 - 公部門: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
19:00:44 - 跳過空白替換結果 - 培訓機構: 老師可以根據教學策略創建不同的分組方案，將課程的學生劃分為若干小組，實現不同場景使用不同分組方案，快來試試看吧!
19:00:44 - 跳過空白替換結果 - 企業: 該課程的學生還沒有任何分組
19:00:44 - 跳過空白替換結果 - 公部門: 該課程的學生還沒有任何分組
19:00:44 - 跳過空白替換結果 - 培訓機構: 該課程的學生還沒有任何分組
19:00:44 - 跳過空白替換結果 - 企業: 查看小組
19:00:44 - 跳過空白替換結果 - 公部門: 查看小組
19:00:44 - 跳過空白替換結果 - 培訓機構: 查看小組
19:00:44 - 跳過空白替換結果 - 企業: 是否確認設置助教？
19:00:44 - 跳過空白替換結果 - 公部門: 是否確認設置助教？
19:00:44 - 跳過空白替換結果 - 培訓機構: 是否確認設置助教？
19:00:44 - 跳過空白替換結果 - 企業: 助教設置成功
19:00:44 - 跳過空白替換結果 - 公部門: 助教設置成功
19:00:44 - 跳過空白替換結果 - 培訓機構: 助教設置成功
19:00:44 - 跳過空白替換結果 - 企業: semester_info.academic_year.suffix
19:00:44 - 跳過空白替換結果 - 公部門: semester_info.academic_year.suffix
19:00:44 - 跳過空白替換結果 - 培訓機構: semester_info.academic_year.suffix
19:00:44 - 跳過空白替換結果 - 企業: 依據各題分數權重、答案與簡答題分數，進行重新計算「原始成績」分數。請留意，簡答題為主觀題型，成績不會自動重新計算，需請老師逐題給分。
19:00:44 - 跳過空白替換結果 - 公部門: 依據各題分數權重、答案與簡答題分數，進行重新計算「原始成績」分數。請留意，簡答題為主觀題型，成績不會自動重新計算，需請老師逐題給分。
19:00:44 - 跳過空白替換結果 - 培訓機構: 依據各題分數權重、答案與簡答題分數，進行重新計算「原始成績」分數。請留意，簡答題為主觀題型，成績不會自動重新計算，需請老師逐題給分。
19:00:44 - 跳過空白替換結果 - 企業: 確認要向教师發送完成大纲填写的提醒吗
19:00:44 - 跳過空白替換結果 - 公部門: 確認要向教师發送完成大纲填写的提醒吗
19:00:44 - 跳過空白替換結果 - 培訓機構: 確認要向教师發送完成大纲填写的提醒吗
19:00:44 - 跳過空白替換結果 - 企業: 不再是單向的知識灌輸，讓學生成為學習的主體，影音簡報、分組學習、互評，樣樣精彩。
19:00:44 - 跳過空白替換結果 - 公部門: 不再是單向的知識灌輸，讓學生成為學習的主體，影音簡報、分組學習、互評，樣樣精彩。
19:00:44 - 跳過空白替換結果 - 培訓機構: 不再是單向的知識灌輸，讓學生成為學習的主體，影音簡報、分組學習、互評，樣樣精彩。
19:00:44 - 跳過空白替換結果 - 企業: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 公部門: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 培訓機構: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 企業: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 公部門: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 培訓機構: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 企業: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 公部門: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 培訓機構: 方便进行课堂内的即时测验，了解学生的上课效果。学生通过手机答题，老师可以控制答题进度，查看班级答题统计数据和分析结果。
19:00:44 - 跳過空白替換結果 - 企業: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
19:00:44 - 跳過空白替換結果 - 公部門: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
19:00:44 - 跳過空白替換結果 - 培訓機構: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
19:00:44 - 跳過空白替換結果 - 企業: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
19:00:44 - 跳過空白替換結果 - 公部門: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
19:00:44 - 跳過空白替換結果 - 培訓機構: 随时随地与老师和同学发起聊天，享受便捷、快速、轻松的沟通，还可以查看历史聊天记录。
19:00:44 - 跳過空白替換結果 - 企業: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
19:00:44 - 跳過空白替換結果 - 公部門: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
19:00:44 - 跳過空白替換結果 - 培訓機構: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
19:00:44 - 跳過空白替換結果 - 企業: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
19:00:44 - 跳過空白替換結果 - 公部門: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
19:00:44 - 跳過空白替換結果 - 培訓機構: 老师可以查看学生的作业列表和繳交状态，学生的作业内容、附件以及成绩；查看作业批改情况；可以查看作业属性信息。
19:00:44 - 跳過空白替換結果 - 企業: 轻松管理班级作业
19:00:44 - 跳過空白替換結果 - 公部門: 轻松管理班级作业
19:00:44 - 跳過空白替換結果 - 培訓機構: 轻松管理班级作业
19:00:44 - 跳過空白替換結果 - 企業: 学生可以通过手机拍照或者选取相册照片作为附件来交作业，增加了交作业的灵活性，适应课堂教学和户外教学等场景。
19:00:44 - 跳過空白替換結果 - 公部門: 学生可以通过手机拍照或者选取相册照片作为附件来交作业，增加了交作业的灵活性，适应课堂教学和户外教学等场景。
19:00:44 - 跳過空白替換結果 - 培訓機構: 学生可以通过手机拍照或者选取相册照片作为附件来交作业，增加了交作业的灵活性，适应课堂教学和户外教学等场景。
19:00:44 - 跳過空白替換結果 - 企業: 教务人员可以对院系、人员和课程等进行统一的管理，随时了解人员基本信息和修课情况并及时发出提醒，还可以协助老师完成公告发布，大纲录入等工作。
19:00:44 - 跳過空白替換結果 - 公部門: 教务人员可以对院系、人员和课程等进行统一的管理，随时了解人员基本信息和修课情况并及时发出提醒，还可以协助老师完成公告发布，大纲录入等工作。
19:00:44 - 跳過空白替換結果 - 培訓機構: 教务人员可以对院系、人员和课程等进行统一的管理，随时了解人员基本信息和修课情况并及时发出提醒，还可以协助老师完成公告发布，大纲录入等工作。
19:00:44 - 跳過空白替換結果 - 企業: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
19:00:44 - 跳過空白替換結果 - 公部門: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
19:00:44 - 跳過空白替換結果 - 培訓機構: iLesson课堂录播系统将课堂的过程自动录制下来上传到云端，可以辅助学生回顾课堂内容，复习知识，还可以未能加入课程的学生一个重温课堂学习的机会。
19:00:44 - 跳過空白替換結果 - 企業: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 公部門: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 培訓機構: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 企業: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 公部門: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 培訓機構: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 企業: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 公部門: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 培訓機構: 教师的所有历史教学数据都透明可见，教务人员可以实时跟踪所有课程、老师、学生的情况，方便及时发现教学过程中的问题并为教学评鉴提供事实依据。
19:00:44 - 跳過空白替換結果 - 企業: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 公部門: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 培訓機構: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 企業: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 公部門: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 培訓機構: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 企業: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 公部門: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 培訓機構: 支持分组教学，老师可以创建并管理班级分组，布置小组作业让学生合作完成，提高学生学习积极性和主动性，培养团队合作精神。
19:00:44 - 跳過空白替換結果 - 企業: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
19:00:44 - 跳過空白替換結果 - 公部門: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
19:00:44 - 跳過空白替換結果 - 培訓機構: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
19:00:44 - 跳過空白替換結果 - 企業: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
19:00:44 - 跳過空白替換結果 - 公部門: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
19:00:44 - 跳過空白替換結果 - 培訓機構: 老师创建和管理互动课堂，即可让学生通过在手机上完成随堂测等课堂互动活动，有效提升参与度，老师也可以及时掌握学生学习情况，及时改善教学。
19:00:44 - 跳過空白替換結果 - 企業: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
19:00:44 - 跳過空白替換結果 - 公部門: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
19:00:44 - 跳過空白替換結果 - 培訓機構: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
19:00:44 - 跳過空白替換結果 - 企業: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
19:00:44 - 跳過空白替換結果 - 公部門: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
19:00:44 - 跳過空白替換結果 - 培訓機構: 学生和老师可以在课程讨论区自由发表帖子和回复帖子，方便进行教学互动，增强师生间的沟通，丰富教学形式。
19:00:44 - 跳過空白替換結果 - 企業: 用带摄像头的笔记本就可以录制微课视频和微课作业，让知识的传递形式更加生动，利于学生更好地理解和掌握知识。
19:00:44 - 跳過空白替換結果 - 公部門: 用带摄像头的笔记本就可以录制微课视频和微课作业，让知识的传递形式更加生动，利于学生更好地理解和掌握知识。
19:00:44 - 跳過空白替換結果 - 培訓機構: 用带摄像头的笔记本就可以录制微课视频和微课作业，让知识的传递形式更加生动，利于学生更好地理解和掌握知识。
19:00:44 - 跳過空白替換結果 - 企業: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
19:00:44 - 跳過空白替換結果 - 公部門: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
19:00:44 - 跳過空白替換結果 - 培訓機構: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
19:00:44 - 跳過空白替換結果 - 企業: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
19:00:44 - 跳過空白替換結果 - 公部門: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
19:00:44 - 跳過空白替換結果 - 培訓機構: 作为学习平台的一项基本功能，在线测试帮助老师快速完成试卷的编写和管理，学生答完题交付后即可快速计算出客观题得分，减轻老师负担，让学生可以及时获得学习效果的反馈。
19:00:44 - 跳過空白替換結果 - 企業: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
19:00:44 - 跳過空白替換結果 - 公部門: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
19:00:44 - 跳過空白替換結果 - 培訓機構: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
19:00:44 - 跳過空白替換結果 - 企業: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
19:00:44 - 跳過空白替換結果 - 公部門: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
19:00:44 - 跳過空白替換結果 - 培訓機構: 老师可以布置线上交付、纸本交付和微课交付三种类型的作业给学生，查看学生的作业内容和附件，并通过手动打分或Rubric打分的方式在线批改作业和写评语。
19:00:44 - 跳過空白替換結果 - 企業: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
19:00:44 - 跳過空白替換結果 - 公部門: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
19:00:44 - 跳過空白替換結果 - 培訓機構: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
19:00:44 - 跳過空白替換結果 - 企業: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
19:00:44 - 跳過空白替換結果 - 公部門: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
19:00:44 - 跳過空白替換結果 - 培訓機構: 公平公正的评量原则与评量工具，采用行与列组成各项评量标准，能有效增进评量成效。除了让学生们了解教师的评量标准外，也协助学生学习评量自我的学习成果并有针对性地进行改进，带给使用者一番崭新的教学评量体验。
19:00:44 - 跳過空白替換結果 - 企業: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
19:00:44 - 跳過空白替換結果 - 公部門: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
19:00:44 - 跳過空白替換結果 - 培訓機構: 详细记录学生的学习活动参与情况如视频观看、论坛活跃度、教材下载和阅读、作业交付、成绩分布等，随时掌握学生的学习进度，方便指导改进。
19:00:44 - 跳過空白替換結果 - 企業: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
19:00:44 - 跳過空白替換結果 - 公部門: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
19:00:44 - 跳過空白替換結果 - 培訓機構: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
19:00:44 - 跳過空白替換結果 - 企業: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
19:00:44 - 跳過空白替換結果 - 公部門: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
19:00:44 - 跳過空白替換結果 - 培訓機構: 整合Youtube、优酷等影音服务，整合微信、微博、Facebook等社群服务，同时支持老师和同学之间的聊天、讨论等活动，满足社交化学习需求。
19:00:44 - 跳過空白替換結果 - 企業: 可以在移动设备上实时接收最新动态消息，查看在线教材，查看课程和公告信息，发起聊天，发起点名，参与课堂互动等。实现随时随地的教学和互通，节省老师和学生的时间，快捷而高效。
